merchant_id,mid,merchant_name,country_code,segment,vertical,service,integration_type,settlement_type,account_manager,signup_date,live_date
M00001,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,T+2,Reem Al-Ghamdi,2020-09-01,2020-09-16
M00002,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Layla Haddad,2020-09-04,2020-10-30
M00003,SA168621990,Crescent Medical,SA,SME,,Online Checkout,Direct API,T+1,Reem Al-Ghamdi,2020-09-07,2020-12-28
M00004,SA865281392,Swift Consulting,SA,SME,Professional Services,Payment Links,Payment Links,T+1,Reem Al-Ghamdi,2020-09-08,2020-09-14
M00005,EG855745273,Coral Mart,EG,SME,Retail,Online Checkout,E-commerce Plugin,T+2,Hany Soliman,2020-09-10,2020-09-15
M00006,AE901159238,Prime Care,AE,SME,Healthcare,POS Acceptance,POS Terminal,Instant,Layla Haddad,2020-09-15,2020-10-20
M00007,AE923160667,Silver Advisory,AE,SME,Professional Services,POS Acceptance,POS Terminal,Instant,Yousef Al-Marri,2020-09-19,2020-10-01
M00008,SA311285465,Palm Games,SA,Online,Digital Services,Online Checkout,Direct API,T+2,Omar Al-Anazi,2020-09-20,2020-12-20
M00009,SA829535554,Royal Supply,SA,B2B,Distribution & Wholesale,B2B Collections,Direct API,Weekly,Turki Al-Shammari,2020-09-28,2020-12-15
M00010,SA420885285,Prime Mart,SA,SME,Retail,Online Checkout,Direct API,T+2,Reem Al-Ghamdi,2020-10-03,2021-01-15
M00011,SA765577175,Crescent Kitchen,SA,Enterprise,Food & Beverage,Payment Links,Payment Links,T+2,Turki Al-Shammari,2020-10-04,2020-10-11
M00012,OM267217098,Palm Utilities,OM,Enterprise,Telecom & Utilities,Payment Links,Payment Links,Weekly,Salim Al-Harthy,2020-10-05,2020-10-11
M00013,SA719959686,Metro Roastery,SA,SME,Food & Beverage,Payment Links,Payment Links,T+2,Omar Al-Anazi,2020-10-07,2020-10-10
M00014,AE288662037,Coral Cargo,AE,B2B,Logistics,B2B Collections,Payment Links,T+1,Yousef Al-Marri,2020-10-13,2020-10-17
M00015,AE987618927,Oasis Streaming,AE,Online,Digital Services,Online Checkout,Hosted Checkout,T+2,Yousef Al-Marri,2020-10-17,2020-10-31
M00016,SA159383546,Cedar Grill,SA,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Reem Al-Ghamdi,2020-10-17,2020-11-19
